Band,Song,Player,Technique,Difficulty,Score
Tourmaline,Illusionist,Track 1,['Distortion Guitar 1'],Intermediate,3/8
Slipknot,Psychosocial ,Jim Root (#4),['Distortion Guitar'],Intermediate,3/8
Interiors,Vivid Paradigm,,['Electric Guitar (clean)'],Intermediate,3/8
Moonfly,Auerberg,,['Distortion Guitar 2'],Intermediate,3/8
Slit Wrist Savior,At The Gates,Pal|Rhythm,['Distortion Guitar'],Intermediate,4/8
Bautek,Niekraszowe Kucowanie,Ró¿al,['Distortion Guitar'],Intermediate,4/8
Test2,abomination test 2,,['Distortion Guitar'],Intermediate,3/8
Test,"AIUVTYTSUHDBANS IUGDHOABKJNSDAUOHISJKNLD;M,ASD",,['Distortion Guitar'],Intermediate,3/8
Mmk Band,Once Again After Crying,Pal|Rhythm,['Distortion Guitar'],Intermediate,4/8
.44,Song#1,Pal|Rhythm,['Distortion Guitar'],Intermediate,4/8
.44 Caliber Love Letter,Test,Alex|Lead,['Distortion Guitar'],Intermediate,4/8
Dezert,saikyouiku,,['Distortion Guitar'],Intermediate,3/8
Pacifist,Insane,Track 1,['Distortion Guitar 1'],Intermediate,4/8
Pain,Call me,,"['Distortion Guitar', 'Guitar 1']",Intermediate,4/8
Ignea,Disenchantment,,['Distortion Guitar'],Intermediate,3/8
Slipknot,Psychosocial ,Jim Root,['Distortion Guitar'],Intermediate,3/8
The Gazette,BLEMISH,Lead,['Overdriven Guitar'],Intermediate,3/8
Pain,The great Pretender,Lead,['Distortion Guitar'],Intermediate,3/8
Brujeria,Matando Gueros,,['Distortion Guitar 1'],Intermediate,3/8
Pain,Dirty Woman ,,"['Distortion Guitar', 'Guitar 2 (Peter Tagtgren)']",Intermediate,3/8
Gazette,Falling v2,URUHA,['Distortion Guitar'],Intermediate,4/8
A.N.I.M.A.L.,Revolucion,,"['Distortion Guitar', 'Electric Guitar 2 Andres GimÃ©nez 2']",Intermediate,3/8
The Gazette,Falling,,['Distortion Guitar'],Intermediate,3/8
Ektomorf,black flag,,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
Preteen Fantasies,...then sucking each other's dick,,"['Distortion Guitar', 'Rythm Guitar']",Intermediate,3/8
Twelve Foot Ninja,vanguard,,"['Electric Guitar (clean)', 'Guitar III']",Intermediate,3/8
Ed Sheeran Ft. Bring Me The Horizon,Bad Habits,,"['Distortion Guitar', 'Electric Guitar']",Intermediate,3/8
Muth,Kirisute Gomen ,Rhythm,['Distortion Guitar'],Intermediate,3/8
Jinjer,Sleep Of The Righteous,,['Distortion Guitar'],Intermediate,3/8
Jinjer,Pearls And Swine,,['Overdriven Guitar'],Intermediate,3/8
Spiten Dich,track12,Track 2,['Distortion Guitar'],Intermediate,3/8
Slipknot,Skin Ticket ,,"['Distortion Guitar', 'Mick #7 (Guitar 1)']",Intermediate,3/8
Bad Omens,Like A Villain,,['Distortion Guitar'],Intermediate,3/8
The Amity Affliction,Coffin,Dan Brown Distortion,['Distortion Guitar'],Intermediate,3/8
Lorna Shore,To the Hellfire  Clean,Track 1,['Electric Guitar (clean)'],Intermediate,3/8
Lorna Shore,To the Hellfire ,Track 1,['Distortion Guitar'],Intermediate,3/8
Bautek,cebula,Bartek,['Distortion Guitar'],Intermediate,3/8
Eeveelyn,Flesh Sarcophagus,,['Distortion Guitar 2'],Advanced,6/8
Eeveelyn,Christ-Like Mutilation,,['Distortion Guitar 1'],Intermediate,4/8
Eeveelyn,Rebirth of Repentia,,['Distortion Guitar 1'],Intermediate,4/8
Creatures Of Furkahn,Knife,,"['Electric Guitar (clean)', 'Clean Guitar']",Intermediate,3/8
The North Star,Suicidal tendencies in spite of everything,,"['Distortion Guitar 2', 'Electric Guitar']",Intermediate,4/8
Slipknot,Psychosocial ,Jim Root (Solo),['Distortion Guitar'],Intermediate,4/8
Bullet For My Valentine,Shatter ,,"['Distortion Guitar', 'Michael (Lead Guitar)']",Intermediate,3/8
Aborted,Vespertine Decay,Lead C Add 9,['Distortion Guitar'],Intermediate,5/8
Gutalax,Sucking A Cock Of A Vietnam Veteran,,['Distortion Guitar'],Intermediate,3/8
Aa,bb,Borys Sternal,['Distortion Guitar'],Intermediate,3/8
Zgg,xvvx,Fellipe,"['Guitarra', 'Overdriven Guitar']",Intermediate,3/8
Lm,Last XMas,,"['Distortion Guitar', 'Lead Guitar']",Intermediate,3/8
Bkmz,finale,,['Distortion Guitar 2'],Intermediate,3/8
Menel,BREAKDOWN ALE MENTALNY,Utwór 1,['Distortion Guitar'],Intermediate,5/8
Gazette,Hold,URUHA,['Distortion Guitar'],Intermediate,4/8
Pray For Humanity,Purge,Lead,['Distortion Guitar'],Intermediate,3/8
Salt Licker,Pruning,,['Overdriven Guitar 2'],Intermediate,4/8
Salt Licker,Grind-y Song ,,"['Distortion Guitar', 'Guitar L']",Intermediate,4/8
Pray For Humanity,Epitaphes,Lead,['Distortion Guitar 2'],Advanced,7/8
Korn,Here to Stay ,Head (Clean Lead),['Electric Guitar (clean)'],Intermediate,3/8
Priv.Acc.G.C,beggdan,Roman (solo),['Electric Guitar (jazz)'],Intermediate,5/8
Slaughter To Prevail,Head On A Plate VER 2 ,Track 1,['Distortion Guitar'],Intermediate,3/8
Slaughter To Prevail,Head On A Plate VER 1,Track 1,['Distortion Guitar'],Intermediate,3/8
Bautek,cerberos,bartek,['Distortion Guitar'],Intermediate,3/8
Me,Splinter in the Eye,,"['Distortion Guitar', 'Distortion Guitar R']",Intermediate,3/8
Veil Of Maya,Mikasa ,Marc Okubo (Rhythm),['Distortion Guitar'],Intermediate,4/8
Cameron Riggenbach,1,,"['Distortion Guitar', 'Electric Guitar (Distortion)']",Intermediate,3/8
Galendwagen,90-60-90,,['Distortion Guitar 3'],Intermediate,4/8
Slipknot,New Abortion ,Mick Thomson (#7),['Distortion Guitar'],Intermediate,4/8
Galendwagen,Demo #2,,['Distortion Guitar 1'],Intermediate,3/8
Galendwagen,Drop A Demo,,['Distortion Guitar 1'],Intermediate,4/8
Slipknot,The Heretic Anthem ,Jim Root (#4),['Distortion Guitar'],Intermediate,3/8
Slipknot,Everything Ends ,Mick Thomson (#7),['Distortion Guitar'],Intermediate,3/8
Creatures Of Furkahn,Reptiles,Fuzz,['Distortion Guitar'],Intermediate,3/8
Creatures Of Furkahn,Heart,Ritim,['Distortion Guitar'],Intermediate,3/8
Caliban,nebeL,,['Distortion Guitar 1'],Intermediate,3/8
Jinjer,As I Boil Ice,,['Distortion Guitar'],Intermediate,3/8
Jinjer,Dip A Sail,Roman (double),['Distortion Guitar'],Intermediate,3/8
Jinjer,Copycat,,['Distortion Guitar'],Intermediate,4/8
Jinjer,Disclosure,,['Distortion Guitar'],Intermediate,4/8
Jinjer,Mediator,,['Distortion Guitar'],Intermediate,5/8
Jinjer,Vortex,,['Overdriven Guitar'],Intermediate,3/8
Jinjer,Call Me A Symbol,,['Distortion Guitar'],Intermediate,5/8
Dadaroma,Risley Circus,,"['Distortion Guitar', 'Right Guitar']",Intermediate,3/8
Matheus Miranda,psychosocial 90,James Root #4,['Distortion Guitar'],Intermediate,4/8
Bautek,bautek,Utwór 2,['Distortion Guitar'],Intermediate,3/8
Eskimo Callboy,gtp,Track 2,['Acoustic Guitar (steel)'],Intermediate,3/8
Cameron Riggenbach,Test 3,,"['Distortion Guitar', 'Left Guitar']",Intermediate,3/8
Slipknot,My Plague ,Mick Thomson (#7),['Distortion Guitar'],Intermediate,3/8
Creatures Of Furkahn,White Shaman,Fuzz,['Distortion Guitar'],Intermediate,3/8
Akame Ga Kill!,Adramelech,,"['Distortion Guitar', 'Rhythm Guitar ']",Intermediate,3/8
Slipknot,Psychosocial Solo Standart Tuning,,"['Distortion Guitar', 'RYTHM Guitar']",Intermediate,3/8
Creatures Of Furkahn,Creature 3,Ritim,['Distortion Guitar'],Intermediate,3/8
Creatures Of Furkahn,Swamp,Leslie,['Electric Guitar (jazz)'],Intermediate,3/8
Creatures Of Furkahn,Disease,Leslie,['Overdriven Guitar'],Intermediate,3/8
Creatures Of Furkahn,Kanapur Theme,Ekstra,['Acoustic Guitar (steel)'],Intermediate,3/8
Zombienesa,proyecto 2,Pista 4,['Distortion Guitar'],Intermediate,3/8
Of Mice And Men,Bloom,Lead,['Overdriven Guitar'],Intermediate,3/8
Knocked Loose,Belleville,,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
Leo,Bad Habits,,"['Distortion Guitar', 'Lead Guitar']",Intermediate,3/8
Furkahn,08 - Kalp/Heart,Ritim,['Distortion Guitar'],Intermediate,3/8
Jinjer,Wallflower,,"['Distortion Guitar', 'Dist Guitar']",Intermediate,3/8
Amaranthe,Viral,,"['Distortion Guitar', 'Electric Guitar']",Intermediate,3/8
Ice Nine Kills,Rainy Day,,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
Me,Killswitch,,"['Distortion Guitar', 'Distortion Guitar R']",Intermediate,3/8
Me,Lucidity In My Name,,"['Electric Guitar (clean)', 'Clean Guitar R']",Intermediate,3/8
Me,SIN,,"['Distortion Guitar', 'Distortion Guitar R']",Intermediate,3/8
Tetrarch,Negative Noise,,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
Ingested,The Diving Right of Kings,,"['Distortion Guitar', 'Guitar 1']",Intermediate,5/8
Gentle Men,Your Boyfriend Doesn't Scare Me ,,"['Distortion Guitar', 'L Guitar']",Intermediate,3/8
Orbit Culture,Flight of the Fireflies,Lead,['Overdriven Guitar'],Intermediate,4/8
Slipknot,Everything Ends ,,"['Distortion Guitar', 'Jim #4 (Guitar 1)']",Intermediate,3/8
Pacifist,Lost,Track 2,['Distortion Guitar'],Intermediate,3/8
Bautek,adam pisze piosenki,Qooba,['Distortion Guitar'],Intermediate,4/8
Jinjer,Captain Clock,GUITAR LEFT,['Distortion Guitar'],Advanced,6/8
Damageplan,Fuck You,Dime Rhythm,['Distortion Guitar'],Intermediate,3/8
Emetocropoklismanecropedoeproctophile,Forbidden Love,deszSKLSOLcz,['Distortion Guitar'],Beginner,2/8
Katatonia,Rein,,"['Distortion Guitar', 'Guitar 1']",Beginner,2/8
Katatonia,Heart Set to Divide,,"['Distortion Guitar', 'Guitar 3']",Intermediate,3/8
Bring Me The Horizon,sTraNgeRs ,,"['Distortion Guitar', 'Rhythm Guitar 2']",Intermediate,3/8
Skeletorus,Fahrenheit 451,,"['Distortion Guitar', 'Jazz Guitar(Melody)']",Intermediate,3/8
Fit For A King,asggadsagdgasaaaaaaaaaA,Track 1,['Distortion Guitar'],Intermediate,3/8
My Enemies & I,Stripe,,"['Overdriven Guitar', 'Rhythm Guitar O.D.']",Beginner,2/8
Blood Laced Misery,Untitled 31,,['Distortion Guitar 3'],Intermediate,3/8
The Raven Age,Grave of The Fireflies,Clean Rhythm,['Electric Guitar (clean)'],Beginner,2/8
Leaftrace,zhivoy,,"['Distortion Guitar', 'Guitar Rhytm']",Beginner,2/8
My Enemies And I,Carbon Copy,,"['Distortion Guitar', 'Lead Guitar 1']",Beginner,2/8
Fractal Eater,A Bleak Exercise in Time Theft,,"['Electric Guitar (clean)', 'Clean Guitar']",Beginner,2/8
Bring Me The Horizon,Can You Feel my Heart - Live,John Jones,['Distortion Guitar'],Beginner,2/8
Bring Me The Horizon,Can You Feel My Heart ,John Jones,['Distortion Guitar'],Beginner,2/8
Dogeplaysguitar,Teardrops ,,"['Distortion Guitar', 'DogePlaysGuitar']",Beginner,2/8
Codomo Dragon,make inu,,['Distortion Guitar'],Intermediate,3/8
Tsubaki,Disconnection,,['Distortion Guitar 1'],Intermediate,3/8
Shredagge,When All Light Dies,,"['Distortion Guitar 1', 'Overdriven Guitar']",Intermediate,4/8
Fit For A King,Reaper,,['Distortion Guitar'],Intermediate,3/8
The Gazette,THE PALE,URUHA,['Distortion Guitar'],Intermediate,3/8
Testing,wamereded,Pat,"['Guitar', 'Distortion Guitar']",Intermediate,4/8
Gazette,The Pale,URUHA Clean,['Electric Guitar (clean)'],Intermediate,3/8
Like Moths To Flames,New Plagues,Right,['Distortion Guitar'],Intermediate,3/8
Like Moths To Flames,The Blackout,Right Rhythm,['Distortion Guitar'],Beginner,2/8
Like Moths To Flames,Do Not Resuscitate,,['Distortion Guitar'],Intermediate,3/8
Like Moths To Flames,You'll Burn,,['Distortion Guitar'],Beginner,2/8
Like Moths To Flames,Habitual Decline,,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
Like Moths To Flames,A Servant Of Plague,Rhythm,['Overdriven Guitar'],Intermediate,4/8
Like Moths To Flames,Praise Feeder,Track 1,['Distortion Guitar'],Beginner,2/8
Like Moths To Flames,What's Done Is Done,Track 1,['Distortion Guitar'],Intermediate,3/8
Abstract Dissonance,Eternal Torment,,['Distortion Guitar'],Intermediate,5/8
In Flames, House,Bjorn,['Distortion Guitar'],Beginner,2/8
Black Winter,Callous,Track 3,['Distortion Guitar'],Advanced,8/8
Black Winter,Slip,Track 3,['Distortion Guitar'],Advanced,8/8
I Prevail,Chaos,,"['Distortion Guitar', 'Rhythm Guitar']",Beginner,2/8
Alloytuber,Aftermath Of The Afterlife,Rhythm (left),['Distortion Guitar'],Intermediate,3/8
Wind Rose,Gates Of Ekrund,Claudio Falconcini,['Distortion Guitar'],Beginner,2/8
Asking Alexandria,Alone Again,Track 1,['Distortion Guitar'],Intermediate,3/8
Glint,test 1,Track 1,['Distortion Guitar 1'],Intermediate,4/8
Nurié,seiten ni hoeru,,['Distortion Guitar'],Intermediate,3/8
Eonia,At The End Of Your Life,LABS (64 Bit),['Electric Guitar (clean) 1'],Intermediate,3/8
Fredguitarist,Collection of Riffs by Fred,Fred (Baritone A#),['Distortion Guitar'],Intermediate,4/8
Deathkite,Survival of the Cruelest,,"['Distortion Guitar', 'Rhythm Guitar']",Intermediate,3/8
Parasitic Ejaculation,Slow Torture Chamber,,['Distortion Guitar 2'],Intermediate,4/8
Motionless In White,Headache,"Ricky ""Horror"" Olson","['Rhythm Guitar', 'Distortion Guitar']",Intermediate,3/8
In Flames,Burn,,"['Distortion Guitar', 'Rythm Guitar']",Intermediate,4/8
Ben Mason,Synth Solo,,['Distortion Guitar 2'],Intermediate,3/8
Portrayal Of Guilt,The Sixth Circle,,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
Long Term Memory,Scorn,Track 1,['Distortion Guitar'],Intermediate,3/8
Out Of My Eyes,GOLDON,,['Distortion Guitar'],Intermediate,3/8
Out Of My Eyes,Blue Cloud,,"['Distortion Guitar', 'Distortion Rythm 2 Guitar']",Intermediate,3/8
Bullet For My Valentine,The Poison But Lower And More Lead,Zweite Stimme,['Distortion Guitar'],Intermediate,3/8
Tbt,Selfish Creatures,Rhythm,['Distortion Guitar'],Intermediate,3/8
Like Moths To Flame,Ameliorate,,['Distortion Guitar'],Intermediate,4/8
Skeletorus,The Storm Of Shards,,"['Distortion Guitar', 'Electric Guitar (clean)']",Intermediate,4/8
Forged In Ice,Alloy_TUBER,,['Distortion Guitar 2'],Intermediate,3/8
We Came As Romans,Black Hole,Track 1,['Distortion Guitar'],Intermediate,3/8
Silverstein,Ultraviolet,LEAD GTR 2,['Overdriven Guitar'],Intermediate,3/8
Razor,akaku chirabaru hana,,['Distortion Guitar'],Intermediate,3/8
Acid Bath,Venus Blue ,Track 2,['Distortion Guitar'],Intermediate,3/8
Draft Shit,shit,,['Distortion Guitar 1'],Intermediate,3/8
To The Garve,The Screams of the widow's Son,Pista 1,['Distortion Guitar'],Intermediate,3/8
Ismail,Of Flesh,Dan,['Electric Guitar (clean)'],Intermediate,3/8
.44 Caliber Love Letter,Idea#1,Pasha Rhythm,['Distortion Guitar'],Advanced,8/8
Gazette,DAKU,URUHA,['Distortion Guitar'],Intermediate,3/8
Coldrain,See You,gtr rhy,['Distortion Guitar'],Intermediate,3/8
Static-X,Set It Off,Wayne Static,['Distortion Guitar'],Intermediate,3/8
Bring Me The Horizon,Can You Feel my Heart ,John Jones,['Distortion Guitar'],Beginner,2/8
My Anarchist Angel,nya?,,['Distortion Guitar 2'],Intermediate,3/8
Falling In Reverse,Zombified,Rhythm R,['Distortion Guitar'],Intermediate,3/8
Ingvar,The Ghost Of Kyiv,,['Distortion Guitar 2'],Intermediate,3/8
Hypocrisy,Chemical Whore,,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
Corprus,Diseased,Track 1,['Distortion Guitar'],Intermediate,3/8
Corprus,Witch Eater,Track 1,['Distortion Guitar'],Intermediate,3/8
Anal Destroyer,SLAM,,['Distortion Guitar'],Intermediate,5/8
Muth,Aeons Black ,Daniel Dlimi,['Distortion Guitar'],Intermediate,5/8
Hypocrisy,Children Of The Gray,,['Distortion Guitar'],Intermediate,3/8
Hua,sass,,"['Distortion Guitar', 'Rhythm Guitar ']",Intermediate,4/8
Bad Omens,Glass Houses,,['Distortion Guitar'],Intermediate,3/8
Ben Mason,No Right,,"['Distortion Guitar', 'Guitar R']",Intermediate,3/8
Gh,asas,,"['Electric Guitar (clean)', 'Clean Guitar']",Intermediate,4/8
Gh,fgh,Federico Zuccarelli,['Distortion Guitar'],Intermediate,4/8
Toadstool,Riff 1,,['Distortion Guitar'],Intermediate,4/8
Soi,DIEKATAKOMBEN,,"['Overdriven Guitar', 'Guitar 2']",Advanced,7/8
Soi,DERHORRORMITTENDRIN,,"['Distortion Guitar', 'Guitar 3']",Intermediate,3/8
Soi,DIERÜCKKEHR,,"['Distortion Guitar', 'Guitar 1']",Advanced,8/8
Soi,WIRSTEIGENAB,,"['Overdriven Guitar', 'Guitar 2']",Intermediate,3/8
Destruction Of The Healer,Obsessed,Right Clean,['Electric Guitar (clean)'],Intermediate,4/8
34yh34,h34h34h3,Track 1,['Distortion Guitar 2'],Intermediate,3/8
Attack On Titan,The Rubmling - Attack on Titan Final Season Part 2,Lead,['Electric Guitar (clean)'],Intermediate,3/8
J7y5yh5,645hb675hn,Track 1,['Distortion Guitar'],Intermediate,3/8
Grg4g4g34,34gg343g443g,Track 1,['Acoustic Guitar (nylon)'],Intermediate,4/8
G323g24g23,g3g32g3g3g,Track 1,['Distortion Guitar 1'],Intermediate,4/8
Bt4g53g,g43g344g3,Track 1,['Distortion Guitar 2'],Intermediate,4/8
4f34f34f3f434f,34f34f34f3f4f3f43f43f4,Track 2,['Distortion Guitar'],Intermediate,3/8
32t4tg4g34g3,g3434g34g34g34g34g,Track 2,['Distortion Guitar'],Intermediate,3/8
6g346g346g,346g34g6346g34,Track 1,['Distortion Guitar'],Intermediate,4/8
Bb1b5121b251,25b125b255b125b,Track 2,['Distortion Guitar'],Intermediate,3/8
G345g465h546h,1241241241241241242g23g23g1,Track 2,['Distortion Guitar'],Intermediate,3/8
5 B1212,5b125b12b512,Track 1,['Distortion Guitar'],Intermediate,4/8
24b1n251,2b512b512b5,Track 1,['Distortion Guitar'],Intermediate,4/8
82398v1283vu12803v12,v41309uv09u,Track 1,['Distortion Guitar'],Intermediate,4/8
Guitar Riff Ideas,Drop A# Riff Ideas,,['Distortion Guitar'],Intermediate,5/8
For All I Want,Recuerdos de una Noche,,"['Overdriven Guitar', 'Guitarra II']",Beginner,2/8
Mud Creek,Tear Me Down,,['Distortion Guitar 1'],Intermediate,3/8
Wage War,Death Roll,,['Distortion Guitar'],Intermediate,4/8
Breaking Benjamin,Feed the Wolf,,"['Electric Guitar (clean)', 'Rhythm Guitar']",Intermediate,3/8
Northlane,Impulse,,['Electric Guitar (clean)'],Intermediate,3/8
The Gentle Men,I Am Truth,,"['Distortion Guitar', 'Left Guitar']",Intermediate,3/8
"Tom Morello, Bring Me The Horizon",Let's Get The Party Started,,"['Distortion Guitar', 'Electric Guitar']",Intermediate,3/8
Fng,Embryo Cytoplasmic Fragmentation,,['Distortion Guitar'],Intermediate,3/8
From Ashes To New,Panic,,['Distortion Guitar'],Intermediate,3/8
Sangheilis,Le fendoir3,Math,['Distortion Guitar'],Intermediate,3/8
Crystal Lake,Into the Great Beyond,Clean Rhythm,['Acoustic Guitar (steel)'],Intermediate,3/8
Sangheilis,Le fendoir2,Math,['Distortion Guitar'],Intermediate,3/8
We Hunt Buffalo,Heavy Low,,['Overdriven Guitar 2'],Intermediate,3/8
Sangheilis,Fend,Math,['Distortion Guitar'],Intermediate,3/8
Sangheilis,The death lord,Guit 1,['Distortion Guitar 2'],Intermediate,3/8
Sangheilis,Wololo,Piste 4,['Guitar harmonics 3'],Intermediate,4/8
Tbt,Time,Lead,['Distortion Guitar'],Intermediate,3/8
Gazette,ROLLIN',URUHA Crunch,['Overdriven Guitar'],Intermediate,3/8
Efe Karatoprak,Grindcore Song #1,,['Distortion Guitar'],Intermediate,3/8
Anakinkindadumb,my goodbyes,Track 1,['Distortion Guitar 1'],Intermediate,3/8
Destruction Of The Healer,Crocodile Tears,,['Distortion Guitar 1'],Intermediate,3/8
Metallica,FULL METALLICA MEDLEY,,"['Distortion Guitar', 'Drop A# Guitar']",Intermediate,4/8
Parkway Drive,Set To Destroy ,Jeff Ling,['Acoustic Guitar (steel)'],Intermediate,4/8
Kira,retardedidea,Track 1,['Distortion Guitar'],Advanced,8/8
Tsubaki,Flandre Will Be None,Lead,['Distortion Guitar 1'],Intermediate,4/8
We Came As Romans,wasted age,,"['Overdriven Guitar 2', 'Rhythm Guitar']",Intermediate,3/8
Like Moths To Flames,The Anatomy Of Evil,Intro,['Distortion Guitar'],Intermediate,4/8
Bac,gbac,Rhythm 2,['Distortion Guitar'],Intermediate,3/8
Gliese,Origen,Juan Clean,['Electric Guitar (clean)'],Intermediate,3/8
Beartooth,Burnout,LEAD,['Distortion Guitar'],Beginner,2/8
Shadow Of Intent,The Heretic Prevails ,Chris Wiseman,['Distortion Guitar'],Intermediate,4/8
Hands Down,Hardships,Track 4,['Distortion Guitar'],Intermediate,4/8
Eonia,Paths,Right,['Distortion Guitar'],Intermediate,3/8
August Burns Red,Three Fountains,,"['Electric Guitar (clean)', 'Guitar 1']",Intermediate,3/8
August Burns Red,Ties That Bind,,"['Electric Guitar (clean)', 'Guitar 4']",Intermediate,3/8
August Burns Red,Dismembered Memory,,"['Electric Guitar (clean)', 'Guitar 4']",Beginner,2/8
August Burns Red,Bones,,"['Electric Guitar (clean)', 'Guitar 3']",Intermediate,3/8
August Burns Red,Empty Heaven,,"['Electric Guitar (clean)', 'Guitar 2']",Intermediate,4/8
Pendulum,self vs self v3,Raita 1,['Distortion Guitar'],Intermediate,3/8
Eonia,Loss,,"['Distortion Guitar', 'Lead Guitar']",Intermediate,4/8
Dezert,Sister,,['Distortion Guitar'],Intermediate,3/8
Eonia,Intro,Clean,['Distortion Guitar'],Intermediate,3/8
Eonia,In Memoriam,,['Distortion Guitar 4'],Intermediate,3/8
Eonia,Recollection,Harmony/Lofi,['Distortion Guitar'],Advanced,7/8
The Raven Age,No mans land solo,Harmony,['Overdriven Guitar'],Intermediate,4/8
Justice For The Damned,"No Brother, No Friend",Pitch Shift Gtr,['Distortion Guitar'],Intermediate,3/8
Eonia,Departure,Harmony,['Distortion Guitar'],Intermediate,4/8
Cbp,2077,,['Distortion Guitar'],Advanced,7/8
Shinigiwa Satellite,Kousei Salvation,RHYTHM,['Distortion Guitar'],Intermediate,3/8
Powerwolf,Sermon of Swords,,"['Distortion Guitar', 'Rhythm Guitar']",Beginner,2/8
Paraphrase,Maladaptive,,['Distortion Guitar 2'],Intermediate,3/8
Destruction Of The Healer,Sacrifice,Clean Left,['Electric Guitar (clean)'],Intermediate,3/8
Bring Me The Horizon,Evolution of BMTH Breakdowns,,"['Distortion Guitar', 'Drop A# Guitar']",Intermediate,4/8
Muth,иινу a#,mike hunt,['Distortion Guitar'],Intermediate,4/8
Afsa Fasf,as fasf asfas,Track 1,['Distortion Guitar'],Intermediate,3/8
